ts_ms,ok_count,fail_count,rl_blocked,cb_open,p50_ms,p95_ms,p99_ms,mem_rss_kb
1787496838662,200,0,0,0,31,49,51,37256
1787496839662,200,0,0,0,33,50,51,37397
1787496840662,0,200,0,1,0,0,0,36825
1787496841663,0,200,0,1,0,0,0,36047
1787496842664,1,199,0,1,18,18,18,37388
1787496843664,0,200,0,1,0,0,0,36318
1787496844664,0,200,0,1,0,0,0,37804
1787496845664,0,200,0,1,0,0,0,36076
1787496846664,0,200,0,1,0,0,0,37558
1787496847664,0,200,0,1,0,0,0,37229
1787496848664,0,200,0,1,0,0,0,36146
1787496849665,0,200,0,1,0,0,0,36542
1787496850665,0,200,0,1,0,0,0,37515
1787496851665,0,200,0,1,0,0,0,36374
1787496852665,0,200,0,1,0,0,0,37761
1787496853666,0,200,0,1,0,0,0,37671
1787496854666,0,200,0,1,0,0,0,37901
1787496855666,0,200,0,1,0,0,0,37063
1787496856667,1,199,0,1,29,29,29,37622
1787496857667,0,200,0,1,0,0,0,36056
1787496858667,0,200,0,1,0,0,0,36529
1787496859667,0,200,0,1,0,0,0,37473
1787496860667,0,200,0,1,0,0,0,37761
1787496861667,0,200,0,1,0,0,0,37608
1787496862667,0,200,0,1,0,0,0,36772
1787496863667,0,200,0,1,0,0,0,37793
1787496864668,0,200,0,1,0,0,0,37393
1787496865668,0,200,0,1,0,0,0,36430
1787496866668,0,200,0,1,0,0,0,36742
1787496867668,0,200,0,1,0,0,0,36511
1787496868668,0,200,0,1,0,0,0,36600
1787496869668,0,200,0,1,0,0,0,36262
1787496870668,0,200,0,1,0,0,0,37808
1787496871668,0,200,0,1,0,0,0,37633
1787496872669,1,199,0,1,49,49,49,36631
1787496873669,0,200,0,1,0,0,0,37797
1787496874669,0,200,0,1,0,0,0,36305
1787496875669,0,200,0,1,0,0,0,36829
1787496876669,0,200,0,1,0,0,0,36210
1787496877669,0,200,0,1,0,0,0,37582
1787496878670,0,200,0,1,0,0,0,36969
1787496879670,0,200,0,1,0,0,0,37833
1787496880670,0,200,0,1,0,0,0,37775
1787496881670,0,200,0,1,0,0,0,36514
1787496882670,0,200,0,1,0,0,0,37642
1787496883670,0,200,0,1,0,0,0,36322
1787496884670,0,200,0,1,0,0,0,37437
1787496885670,0,200,0,1,0,0,0,37551
1787496886670,0,200,0,1,0,0,0,36647
1787496887670,0,200,0,1,0,0,0,36212
1787496888670,0,200,0,1,0,0,0,36402
1787496889670,0,200,0,1,0,0,0,36058
1787496890670,0,200,0,1,0,0,0,36906
1787496891670,0,200,0,1,0,0,0,37597
1787496892670,0,200,0,1,0,0,0,36218
1787496893670,0,200,0,1,0,0,0,36672
1787496894670,0,200,0,1,0,0,0,36766
1787496895670,0,200,0,1,0,0,0,37065
1787496896670,0,200,0,1,0,0,0,37065
1787496897670,0,200,0,1,0,0,0,36853
