ts_ms,kind,op_id,trait,latency_ms,status,fuel_left,fuel_total,mem_pages_used,mem_pages_limit,ok_count_moving,rss_kb
1787496838782,normal,sha_64B_em,normal,1.318,ok,inf,2000000,1,1,1,31003
1787496838783,normal,grep_8k,normal,1.015,memory_trap,inf,2000000,2,1,0,31005
1787496838784,normal,mul2_256,normal,0.569,ok,inf,2000000,1,1,1,31006
1787496838785,normal,softmax_256,normal,0.378,ok,inf,2000000,1,1,2,31005
1787496838786,normal,sha_64B_em,normal,0.087,ok,inf,2000000,1,1,3,31001
1787496838787,oversize,sort_64k,pages_over_limit,26.464,memory_trap,inf,2000000,4,1,0,30997
1787496838788,oversize,mmul_16k,pages_over_limit,10.970,memory_trap,inf,2000000,2,1,0,30999
1787496838789,oversize,conv3x3_4k,pages_over_limit,16.412,memory_trap,inf,2000000,3,1,0,31004
1787496838790,oversize,sort_64k,pages_over_limit,18.233,memory_trap,inf,2000000,4,1,0,31008
1787496838791,normal,grep_8k,normal,0.176,memory_trap,inf,2000000,2,1,0,31007
1787496838792,normal,mul2_256,normal,0.355,ok,inf,2000000,1,1,1,31004
1787496838793,normal,softmax_256,normal,1.288,ok,inf,2000000,1,1,2,31008
1787496838794,normal,sha_64B_em,normal,0.377,ok,inf,2000000,1,1,3,31006
1787496838796,normal,grep_8k,normal,1.141,memory_trap,inf,2000000,2,1,0,31003
1787496838797,oversize,sort_64k,pages_over_limit,19.468,memory_trap,inf,2000000,4,1,0,31001
1787496838798,oversize,mmul_16k,pages_over_limit,27.927,memory_trap,inf,2000000,2,1,0,31006
1787496838799,normal,sha_64B_em,normal,1.135,ok,inf,2000000,1,1,1,31011
1787496838800,oversize,sort_64k,pages_over_limit,11.678,memory_trap,inf,2000000,4,1,0,31011
1787496838801,normal,mul2_256,normal,1.323,ok,inf,2000000,1,1,1,31009
1787496838802,oversize,conv3x3_4k,pages_over_limit,29.719,memory_trap,inf,2000000,3,1,0,31009
1787496838803,normal,sha_64B_em,normal,0.000,ok,inf,2000000,1,1,1,31007
1787496838804,normal,grep_8k,normal,0.031,memory_trap,inf,2000000,2,1,0,31009
1787496838805,normal,mul2_256,normal,0.490,ok,inf,2000000,1,1,1,31009
1787496838806,normal,softmax_256,normal,0.285,ok,inf,2000000,1,1,2,31012
1787496838807,normal,sha_64B_em,normal,1.328,ok,inf,2000000,1,1,3,31015
1787496838808,normal,grep_8k,normal,0.801,memory_trap,inf,2000000,2,1,0,31012
1787496838809,normal,mul2_256,normal,1.041,ok,inf,2000000,1,1,1,31017
1787496838810,normal,softmax_256,normal,0.525,ok,inf,2000000,1,1,2,31019
1787496838811,oversize,conv3x3_4k,pages_over_limit,27.519,memory_trap,inf,2000000,3,1,0,31016
1787496838812,normal,grep_8k,normal,1.203,memory_trap,inf,2000000,2,1,0,31016
1787496838813,normal,mul2_256,normal,0.649,ok,inf,2000000,1,1,1,31013
1787496838814,normal,softmax_256,normal,1.500,ok,inf,2000000,1,1,2,31011
1787496838815,normal,sha_64B_em,normal,1.449,ok,inf,2000000,1,1,3,31011
1787496838816,normal,grep_8k,normal,0.127,memory_trap,inf,2000000,2,1,0,31016
1787496838817,normal,mul2_256,normal,0.957,ok,inf,2000000,1,1,1,31021
1787496838818,normal,softmax_256,normal,1.116,ok,inf,2000000,1,1,2,31019
1787496838819,oversize,mmul_16k,pages_over_limit,12.271,memory_trap,inf,2000000,2,1,0,31016
1787496838820,oversize,conv3x3_4k,pages_over_limit,24.879,memory_trap,inf,2000000,3,1,0,31021
1787496838821,oversize,sort_64k,pages_over_limit,27.010,memory_trap,inf,2000000,4,1,0,31026
1787496838822,normal,softmax_256,normal,0.341,ok,inf,2000000,1,1,1,31029
1787496838823,normal,sha_64B_em,normal,1.376,ok,inf,2000000,1,1,2,31028
1787496838824,oversize,sort_64k,pages_over_limit,29.739,memory_trap,inf,2000000,4,1,0,31032
1787496838825,normal,mul2_256,normal,0.022,ok,inf,2000000,1,1,1,31028
1787496838826,oversize,conv3x3_4k,pages_over_limit,14.839,memory_trap,inf,2000000,3,1,0,31029
1787496838827,oversize,sort_64k,pages_over_limit,26.940,memory_trap,inf,2000000,4,1,0,31033
1787496838828,oversize,mmul_16k,pages_over_limit,28.271,memory_trap,inf,2000000,2,1,0,31035
1787496838829,normal,mul2_256,normal,0.625,ok,inf,2000000,1,1,1,31038
1787496838830,normal,softmax_256,normal,0.817,ok,inf,2000000,1,1,2,31035
1787496838831,normal,sha_64B_em,normal,1.444,ok,inf,2000000,1,1,3,31035
1787496838832,normal,grep_8k,normal,0.634,memory_trap,inf,2000000,2,1,0,31035
1787496838833,normal,mul2_256,normal,1.229,ok,inf,2000000,1,1,1,31038
1787496838834,normal,softmax_256,normal,0.709,ok,inf,2000000,1,1,2,31040
1787496838835,normal,sha_64B_em,normal,1.217,ok,inf,2000000,1,1,3,31044
1787496838836,oversize,sort_64k,pages_over_limit,22.294,memory_trap,inf,2000000,4,1,0,31042
1787496838837,normal,mul2_256,normal,0.735,ok,inf,2000000,1,1,1,31038
1787496838838,normal,softmax_256,normal,0.264,ok,inf,2000000,1,1,2,31035
1787496838839,normal,sha_64B_em,normal,0.277,ok,inf,2000000,1,1,3,31039
1787496838840,oversize,mmul_16k,pages_over_limit,24.456,memory_trap,inf,2000000,2,1,0,31044
1787496838841,oversize,conv3x3_4k,pages_over_limit,29.771,memory_trap,inf,2000000,3,1,0,31041
1787496838842,normal,softmax_256,normal,0.900,ok,inf,2000000,1,1,1,31046
1787496838843,normal,sha_64B_em,normal,0.023,ok,inf,2000000,1,1,2,31047
1787496838844,normal,grep_8k,normal,1.366,memory_trap,inf,2000000,2,1,0,31043
1787496838845,normal,mul2_256,normal,1.309,ok,inf,2000000,1,1,1,31047
1787496838846,normal,softmax_256,normal,1.266,ok,inf,2000000,1,1,2,31050
1787496838847,oversize,conv3x3_4k,pages_over_limit,17.111,memory_trap,inf,2000000,3,1,0,31050
1787496838848,oversize,sort_64k,pages_over_limit,20.518,memory_trap,inf,2000000,4,1,0,31054
1787496838849,normal,mul2_256,normal,0.225,ok,inf,2000000,1,1,1,31055
1787496838850,oversize,conv3x3_4k,pages_over_limit,14.107,memory_trap,inf,2000000,3,1,0,31054
1787496838851,oversize,sort_64k,pages_over_limit,17.412,memory_trap,inf,2000000,4,1,0,31058
1787496838852,oversize,mmul_16k,pages_over_limit,18.875,memory_trap,inf,2000000,2,1,0,31060
1787496838853,oversize,conv3x3_4k,pages_over_limit,25.132,memory_trap,inf,2000000,3,1,0,31060
1787496838854,normal,softmax_256,normal,0.145,ok,inf,2000000,1,1,1,31058
1787496838855,oversize,mmul_16k,pages_over_limit,13.551,memory_trap,inf,2000000,2,1,0,31061
1787496838856,oversize,conv3x3_4k,pages_over_limit,10.545,memory_trap,inf,2000000,3,1,0,31059
1787496838857,normal,mul2_256,normal,0.776,ok,inf,2000000,1,1,1,31064
1787496838858,normal,softmax_256,normal,0.514,ok,inf,2000000,1,1,2,31068
1787496838859,normal,sha_64B_em,normal,1.067,ok,inf,2000000,1,1,3,31065
1787496838860,normal,grep_8k,normal,1.263,memory_trap,inf,2000000,2,1,0,31069
1787496838861,normal,mul2_256,normal,1.368,ok,inf,2000000,1,1,1,31073
1787496838862,oversize,conv3x3_4k,pages_over_limit,20.625,memory_trap,inf,2000000,3,1,0,31075
1787496838863,oversize,sort_64k,pages_over_limit,23.331,memory_trap,inf,2000000,4,1,0,31078
1787496838864,normal,grep_8k,normal,0.855,memory_trap,inf,2000000,2,1,0,31076
1787496838865,oversize,conv3x3_4k,pages_over_limit,18.412,memory_trap,inf,2000000,3,1,0,31073
1787496838866,normal,softmax_256,normal,0.792,ok,inf,2000000,1,1,1,31069
1787496838867,normal,sha_64B_em,normal,1.419,ok,inf,2000000,1,1,2,31072
1787496838868,normal,grep_8k,normal,1.181,memory_trap,inf,2000000,2,1,0,31075
1787496838869,normal,mul2_256,normal,1.245,ok,inf,2000000,1,1,1,31074
1787496838870,oversize,mmul_16k,pages_over_limit,25.216,memory_trap,inf,2000000,2,1,0,31071
1787496838871,normal,sha_64B_em,normal,0.338,ok,inf,2000000,1,1,1,31067
1787496838872,oversize,sort_64k,pages_over_limit,28.104,memory_trap,inf,2000000,4,1,0,31069
1787496838873,oversize,mmul_16k,pages_over_limit,29.277,memory_trap,inf,2000000,2,1,0,31067
1787496838874,normal,softmax_256,normal,0.040,ok,inf,2000000,1,1,1,31064
1787496838875,normal,sha_64B_em,normal,0.881,ok,inf,2000000,1,1,2,31065
1787496838876,normal,grep_8k,normal,1.080,memory_trap,inf,2000000,2,1,0,31067
1787496838877,normal,mul2_256,normal,1.488,ok,inf,2000000,1,1,1,31068
1787496838878,oversize,sort_64k,pages_over_limit,23.746,memory_trap,inf,2000000,4,1,0,31065
1787496838879,normal,sha_64B_em,normal,1.453,ok,inf,2000000,1,1,1,31065
1787496838880,normal,grep_8k,normal,1.346,memory_trap,inf,2000000,2,1,0,31069
1787496838881,oversize,sort_64k,pages_over_limit,27.957,memory_trap,inf,2000000,4,1,0,31068
1787496838882,oversize,mmul_16k,pages_over_limit,15.200,memory_trap,inf,2000000,2,1,0,31065
1787496838883,normal,sha_64B_em,normal,0.902,ok,inf,2000000,1,1,1,31064
1787496838884,oversize,sort_64k,pages_over_limit,27.245,memory_trap,inf,2000000,4,1,0,31063
1787496838885,normal,mul2_256,normal,1.225,ok,inf,2000000,1,1,1,31059
1787496838886,normal,softmax_256,normal,0.113,ok,inf,2000000,1,1,2,31062
1787496838887,normal,sha_64B_em,normal,0.467,ok,inf,2000000,1,1,3,31060
1787496838888,normal,grep_8k,normal,0.075,memory_trap,inf,2000000,2,1,0,31063
1787496838889,normal,mul2_256,normal,0.266,ok,inf,2000000,1,1,1,31068
1787496838890,normal,softmax_256,normal,1.440,ok,inf,2000000,1,1,2,31072
1787496838891,oversize,mmul_16k,pages_over_limit,23.593,memory_trap,inf,2000000,2,1,0,31068
1787496838892,oversize,conv3x3_4k,pages_over_limit,23.344,memory_trap,inf,2000000,3,1,0,31066
1787496838893,normal,mul2_256,normal,0.148,ok,inf,2000000,1,1,1,31067
1787496838894,normal,softmax_256,normal,0.019,ok,inf,2000000,1,1,2,31072
1787496838895,normal,sha_64B_em,normal,1.140,ok,inf,2000000,1,1,3,31075
1787496838896,normal,grep_8k,normal,1.372,memory_trap,inf,2000000,2,1,0,31076
1787496838897,oversize,mmul_16k,pages_over_limit,27.734,memory_trap,inf,2000000,2,1,0,31073
1787496838898,normal,softmax_256,normal,0.113,ok,inf,2000000,1,1,1,31070
1787496838899,normal,sha_64B_em,normal,1.108,ok,inf,2000000,1,1,2,31071
1787496838900,oversize,mmul_16k,pages_over_limit,10.876,memory_trap,inf,2000000,2,1,0,31070
1787496838901,oversize,conv3x3_4k,pages_over_limit,17.360,memory_trap,inf,2000000,3,1,0,31073
1787496838902,oversize,sort_64k,pages_over_limit,18.717,memory_trap,inf,2000000,4,1,0,31078
1787496838903,oversize,mmul_16k,pages_over_limit,22.537,memory_trap,inf,2000000,2,1,0,31074
1787496838904,normal,grep_8k,normal,0.852,memory_trap,inf,2000000,2,1,0,31077
1787496838905,normal,mul2_256,normal,0.405,ok,inf,2000000,1,1,1,31073
1787496838906,oversize,mmul_16k,pages_over_limit,16.730,memory_trap,inf,2000000,2,1,0,31077
1787496838907,normal,sha_64B_em,normal,0.486,ok,inf,2000000,1,1,1,31079
1787496838908,oversize,sort_64k,pages_over_limit,28.564,memory_trap,inf,2000000,4,1,0,31076
1787496838909,normal,mul2_256,normal,0.654,ok,inf,2000000,1,1,1,31077
1787496838910,normal,softmax_256,normal,0.765,ok,inf,2000000,1,1,2,31073
1787496838911,normal,sha_64B_em,normal,0.859,ok,inf,2000000,1,1,3,31069
1787496838912,oversize,mmul_16k,pages_over_limit,20.682,memory_trap,inf,2000000,2,1,0,31066
1787496838913,normal,mul2_256,normal,0.074,ok,inf,2000000,1,1,1,31067
1787496838914,normal,softmax_256,normal,0.304,ok,inf,2000000,1,1,2,31066
1787496838915,normal,sha_64B_em,normal,1.418,ok,inf,2000000,1,1,3,31071
1787496838916,normal,grep_8k,normal,0.747,memory_trap,inf,2000000,2,1,0,31069
1787496838917,normal,mul2_256,normal,1.186,ok,inf,2000000,1,1,1,31065
1787496838918,normal,softmax_256,normal,0.355,ok,inf,2000000,1,1,2,31069
1787496838919,normal,sha_64B_em,normal,1.151,ok,inf,2000000,1,1,3,31068
1787496838920,normal,grep_8k,normal,0.579,memory_trap,inf,2000000,2,1,0,31073
1787496838921,oversize,mmul_16k,pages_over_limit,18.610,memory_trap,inf,2000000,2,1,0,31072
1787496838922,oversize,conv3x3_4k,pages_over_limit,19.845,memory_trap,inf,2000000,3,1,0,31068
1787496838923,normal,sha_64B_em,normal,0.720,ok,inf,2000000,1,1,1,31069
1787496838924,normal,grep_8k,normal,0.229,memory_trap,inf,2000000,2,1,0,31065
1787496838925,normal,mul2_256,normal,0.340,ok,inf,2000000,1,1,1,31064
1787496838926,normal,softmax_256,normal,0.651,ok,inf,2000000,1,1,2,31069
1787496838927,normal,sha_64B_em,normal,1.065,ok,inf,2000000,1,1,3,31074
1787496838928,normal,grep_8k,normal,0.996,memory_trap,inf,2000000,2,1,0,31075
1787496838929,normal,mul2_256,normal,0.608,ok,inf,2000000,1,1,1,31076
