ts_ms,group_id,round_id,policy,dispatch_ms,wait_ms,total_ms,succeeded,cancelled,experts_used,stalls_caused_by_block,overall_deadline_ms,missed_deadline
1787496838792,0,0,serial,1,0,222,4,0,4,0,300,0
1787496838795,0,0,parallel_o5,3,0,102,4,0,4,0,300,0
1787496838804,1,0,serial,1,0,335,5,0,5,0,300,1
1787496838807,1,0,parallel_o5,3,0,92,5,0,5,0,300,0
1787496838816,2,0,serial,1,0,420,6,0,6,0,300,1
1787496838819,2,0,parallel_o5,3,0,89,6,0,6,0,300,0
1787496838828,3,0,serial,1,0,443,7,0,7,0,300,1
1787496838832,3,0,parallel_o5,3,0,96,7,0,7,0,300,0
1787496838841,4,0,serial,1,0,220,4,0,4,0,300,0
1787496838844,4,0,parallel_o5,3,0,83,4,0,4,0,300,0
1787496838853,5,0,serial,1,0,325,5,0,5,0,300,1
1787496838856,5,0,parallel_o5,3,0,89,5,0,5,0,300,0
1787496838865,6,0,serial,1,0,447,6,0,6,0,300,1
1787496838868,6,0,parallel_o5,3,0,101,6,0,6,0,300,0
1787496838877,7,0,serial,1,0,479,7,0,7,0,300,1
1787496838880,7,0,parallel_o5,3,0,96,7,0,7,0,300,0
1787496838889,8,0,serial,1,0,322,4,0,4,0,300,1
1787496838892,8,0,parallel_o5,3,0,100,4,0,4,0,300,0
1787496838901,9,0,serial,1,0,440,5,0,5,0,300,1
1787496838904,9,0,parallel_o5,3,0,97,5,0,5,0,300,0
1787496838913,10,0,serial,1,0,481,6,0,6,0,300,1
1787496838916,10,0,parallel_o5,3,0,100,6,0,6,0,300,0
1787496838925,11,0,serial,1,0,482,7,0,7,0,300,1
1787496838928,11,0,parallel_o5,3,0,90,7,0,7,0,300,0
1787496838937,12,0,serial,1,0,243,4,0,4,0,300,0
1787496838940,12,0,parallel_o5,3,0,80,4,0,4,0,300,0
1787496838949,13,0,serial,1,0,271,5,0,5,0,300,0
1787496838952,13,0,parallel_o5,3,0,96,5,0,5,0,300,0
1787496838961,14,0,serial,1,0,432,6,0,6,0,300,1
1787496838964,14,0,parallel_o5,3,0,102,6,0,6,0,300,0
1787496838973,15,0,serial,1,0,441,7,0,7,0,300,1
1787496838976,15,0,parallel_o5,3,0,99,7,0,7,0,300,0
1787496838985,16,0,serial,1,0,310,4,0,4,0,300,1
1787496838988,16,0,parallel_o5,3,0,88,4,0,4,0,300,0
1787496838997,17,0,serial,1,0,357,5,0,5,0,300,1
1787496839000,17,0,parallel_o5,3,0,90,5,0,5,0,300,0
1787496839009,18,0,serial,1,0,473,6,0,6,0,300,1
1787496839012,18,0,parallel_o5,3,0,99,6,0,6,0,300,0
1787496839021,19,0,serial,1,0,593,7,0,7,0,300,1
1787496839024,19,0,parallel_o5,3,0,101,7,0,7,0,300,0
1787496839033,0,1,serial,1,0,269,4,0,4,0,300,0
1787496839036,0,1,parallel_o5,3,0,95,4,0,4,0,300,0
1787496839045,1,1,serial,1,0,296,5,0,5,0,300,0
1787496839048,1,1,parallel_o5,3,0,87,5,0,5,0,300,0
1787496839057,2,1,serial,1,0,321,6,0,6,0,300,1
1787496839060,2,1,parallel_o5,3,0,85,6,0,6,0,300,0
1787496839069,3,1,serial,1,0,505,7,0,7,0,300,1
1787496839072,3,1,parallel_o5,3,0,102,7,0,7,0,300,0
1787496839081,4,1,serial,1,0,256,4,0,4,0,300,0
1787496839084,4,1,parallel_o5,3,0,91,4,0,4,0,300,0
1787496839093,5,1,serial,1,0,339,5,0,5,0,300,1
1787496839096,5,1,parallel_o5,3,0,84,5,0,5,0,300,0
1787496839105,6,1,serial,1,0,408,6,0,6,0,300,1
1787496839108,6,1,parallel_o5,3,0,97,6,0,6,0,300,0
1787496839117,7,1,serial,1,0,492,7,0,7,0,300,1
1787496839120,7,1,parallel_o5,3,0,96,7,0,7,0,300,0
1787496839129,8,1,serial,1,0,302,4,0,4,0,300,1
1787496839132,8,1,parallel_o5,3,0,98,4,0,4,0,300,0
1787496839141,9,1,serial,1,0,363,5,0,5,0,300,1
1787496839144,9,1,parallel_o5,3,0,86,5,0,5,0,300,0
1787496839153,10,1,serial,1,0,422,6,0,6,0,300,1
1787496839156,10,1,parallel_o5,3,0,99,6,0,6,0,300,0
1787496839165,11,1,serial,1,0,597,7,0,7,0,300,1
1787496839168,11,1,parallel_o5,3,0,99,7,0,7,0,300,0
1787496839177,12,1,serial,1,0,259,4,0,4,0,300,0
1787496839180,12,1,parallel_o5,3,0,100,4,0,4,0,300,0
