ts_ms,group_id,round_id,policy,dispatch_ms,wait_ms,total_ms,succeeded,cancelled,experts_used,stalls_caused_by_block,overall_deadline_ms,missed_deadline
1787493467456,0,0,serial,3,0,289,4,0,4,0,300,0
1787493467797,1,0,serial,1,0,341,5,0,5,0,300,1
1787493468094,2,0,serial,1,0,297,4,0,4,0,300,0
1787493468324,3,0,serial,2,0,230,4,0,4,0,300,0
1787493468603,4,0,serial,1,0,279,4,0,4,0,300,0
1787493468969,5,0,serial,2,0,366,5,0,5,0,300,1
1787493469260,6,0,serial,3,0,291,4,0,4,0,300,0
1787493469492,7,0,serial,1,0,232,4,0,4,0,300,0
1787493469755,0,1,serial,1,0,263,4,0,4,0,300,0
1787493470135,1,1,serial,1,0,379,5,0,5,0,300,1
1787493470447,2,1,serial,1,0,312,4,0,4,0,300,1
1787493470690,3,1,serial,3,0,243,4,0,4,0,300,0
1787493470938,4,1,serial,1,0,248,4,0,4,0,300,0
1787493471299,5,1,serial,2,0,361,5,0,5,0,300,1
1787493471591,6,1,serial,3,0,292,4,0,4,0,300,0
1787493471826,7,1,serial,1,0,235,4,0,4,0,300,0
1787493472074,0,2,serial,3,0,248,4,0,4,0,300,0
1787493472430,1,2,serial,3,0,356,5,0,5,0,300,1
1787493472709,2,2,serial,2,0,279,4,0,4,0,300,0
1787493472959,3,2,serial,3,0,250,4,0,4,0,300,0
1787493473239,4,2,serial,1,0,280,4,0,4,0,300,0
1787493473609,5,2,serial,2,0,370,5,0,5,0,300,1
1787493473907,6,2,serial,1,0,298,4,0,4,0,300,0
1787493474153,7,2,serial,2,0,246,4,0,4,0,300,0
1787493474403,0,3,serial,3,0,250,4,0,4,0,300,0
1787493474761,1,3,serial,1,0,358,5,0,5,0,300,1
1787493475043,2,3,serial,3,0,282,4,0,4,0,300,0
1787493475289,3,3,serial,2,0,246,4,0,4,0,300,0
1787493475553,4,3,serial,2,0,264,4,0,4,0,300,0
1787493475924,5,3,serial,1,0,371,5,0,5,0,300,1
1787493476220,6,3,serial,1,0,296,4,0,4,0,300,0
1787493476452,7,3,serial,2,0,232,4,0,4,0,300,0
1787493476713,0,4,serial,1,0,261,4,0,4,0,300,0
1787493477082,1,4,serial,1,0,369,5,0,5,0,300,1
1787493477375,2,4,serial,3,0,293,4,0,4,0,300,0
1787493477626,3,4,serial,1,0,251,4,0,4,0,300,0
1787493477877,4,4,serial,1,0,251,4,0,4,0,300,0
1787493478252,5,4,serial,3,0,375,5,0,5,0,300,1
1787493478543,6,4,serial,2,0,291,4,0,4,0,300,0
1787493478777,7,4,serial,3,0,234,4,0,4,0,300,0
1787493479069,0,5,serial,2,0,291,4,0,4,0,300,0
1787493479423,1,5,serial,2,0,354,5,0,5,0,300,1
1787493479703,2,5,serial,3,0,280,4,0,4,0,300,0
1787493479951,3,5,serial,1,0,248,4,0,4,0,300,0
1787493480213,4,5,serial,2,0,262,4,0,4,0,300,0
1787493480591,5,5,serial,1,0,378,5,0,5,0,300,1
1787493480897,6,5,serial,1,0,306,4,0,4,0,300,1
1787493481144,7,5,serial,1,0,247,4,0,4,0,300,0
1787493481395,0,6,serial,1,0,251,4,0,4,0,300,0
1787493481755,1,6,serial,3,0,360,5,0,5,0,300,1
1787493482055,2,6,serial,2,0,300,4,0,4,0,300,0
1787493482270,3,6,serial,2,0,215,4,0,4,0,300,0
1787493482549,4,6,serial,1,0,279,4,0,4,0,300,0
1787493482930,5,6,serial,2,0,381,5,0,5,0,300,1
1787493483210,6,6,serial,1,0,279,4,0,4,0,300,0
1787493483443,7,6,serial,3,0,233,4,0,4,0,300,0
1787493483703,0,7,serial,2,0,260,4,0,4,0,300,0
1787493484056,1,7,serial,1,0,353,5,0,5,0,300,1
1787493484347,2,7,serial,3,0,291,4,0,4,0,300,0
1787493484578,3,7,serial,3,0,231,4,0,4,0,300,0
1787493484836,4,7,serial,1,0,258,4,0,4,0,300,0
1787493485209,5,7,serial,3,0,373,5,0,5,0,300,1
1787493485468,6,7,serial,1,0,259,4,0,4,0,300,0
1787493485700,7,7,serial,1,0,232,4,0,4,0,300,0
1787493485979,0,8,serial,3,0,279,4,0,4,0,300,0
1787493486350,1,8,serial,3,0,371,5,0,5,0,300,1
1787493486642,2,8,serial,3,0,292,4,0,4,0,300,0
1787493486906,3,8,serial,3,0,264,4,0,4,0,300,0
1787493487184,4,8,serial,1,0,278,4,0,4,0,300,0
1787493487539,5,8,serial,2,0,355,5,0,5,0,300,1
1787493487820,6,8,serial,3,0,281,4,0,4,0,300,0
1787493488083,7,8,serial,2,0,263,4,0,4,0,300,0
1787493488348,0,9,serial,3,0,265,4,0,4,0,300,0
1787493488722,1,9,serial,1,0,374,5,0,5,0,300,1
1787493489017,2,9,serial,1,0,295,4,0,4,0,300,0
1787493489282,3,9,serial,2,0,265,4,0,4,0,300,0
1787493489540,4,9,serial,3,0,258,4,0,4,0,300,0
1787493489912,5,9,serial,2,0,372,5,0,5,0,300,1
1787493490207,6,9,serial,3,0,295,4,0,4,0,300,0
1787493490454,7,9,serial,3,0,247,4,0,4,0,300,0
1787493490718,0,10,serial,3,0,264,4,0,4,0,300,0
1787493491061,1,10,serial,3,0,343,5,0,5,0,300,1
1787493491339,2,10,serial,1,0,278,4,0,4,0,300,0
1787493491568,3,10,serial,1,0,229,4,0,4,0,300,0
1787493491832,4,10,serial,2,0,264,4,0,4,0,300,0
1787493492176,5,10,serial,3,0,344,5,0,5,0,300,1
1787493492486,6,10,serial,1,0,310,4,0,4,0,300,1
1787493492748,7,10,serial,1,0,262,4,0,4,0,300,0
1787493493028,0,11,serial,3,0,280,4,0,4,0,300,0
1787493493402,1,11,serial,1,0,374,5,0,5,0,300,1
1787493493697,2,11,serial,2,0,295,4,0,4,0,300,0
1787493493928,3,11,serial,1,0,231,4,0,4,0,300,0
1787493494215,4,11,serial,3,0,287,4,0,4,0,300,0
1787493494589,5,11,serial,1,0,374,5,0,5,0,300,1
1787493494882,6,11,serial,1,0,293,4,0,4,0,300,0
1787493495135,7,11,serial,1,0,253,4,0,4,0,300,0
1787493495425,0,12,serial,3,0,290,4,0,4,0,300,0
1787493495767,1,12,serial,2,0,342,5,0,5,0,300,1
1787493496060,2,12,serial,3,0,293,4,0,4,0,300,0
1787493496295,3,12,serial,2,0,235,4,0,4,0,300,0
1787493496588,4,12,serial,2,0,293,4,0,4,0,300,0
1787493496962,5,12,serial,1,0,374,5,0,5,0,300,1
1787493497254,6,12,serial,2,0,292,4,0,4,0,300,0
1787493497499,7,12,serial,1,0,244,4,0,4,0,300,0
1787493497750,0,13,serial,2,0,251,4,0,4,0,300,0
1787493498117,1,13,serial,1,0,367,5,0,5,0,300,1
1787493498417,2,13,serial,1,0,300,4,0,4,0,300,0
1787493498647,3,13,serial,2,0,230,4,0,4,0,300,0
1787493498910,4,13,serial,1,0,263,4,0,4,0,300,0
1787493499284,5,13,serial,1,0,374,5,0,5,0,300,1
1787493499564,6,13,serial,3,0,280,4,0,4,0,300,0
1787493499797,7,13,serial,3,0,232,4,0,4,0,300,0
1787493500077,0,14,serial,3,0,280,4,0,4,0,300,0
1787493500445,1,14,serial,2,0,368,5,0,5,0,300,1
1787493500742,2,14,serial,3,0,297,4,0,4,0,300,0
1787493500982,3,14,serial,3,0,240,4,0,4,0,300,0
1787493501239,4,14,serial,3,0,256,4,0,4,0,300,0
