ts_ms,ok_count,fail_count,rl_blocked,cb_open,p50_ms,p95_ms,p99_ms,mem_rss_kb
1787493528808,186,0,0,0,79,86,88,38376
1787493529808,199,0,0,0,79,86,88,38736
1787493530808,200,0,0,0,79,87,88,39052
1787493531808,200,0,0,0,79,86,88,42708
1787493532808,198,0,0,0,79,86,89,42956
1787493533808,202,0,0,0,79,86,89,43032
1787493534808,200,0,0,0,78,87,91,43100
1787493535808,200,0,0,0,79,87,91,43236
1787493536808,200,0,0,0,80,87,96,43324
1787493537808,198,0,0,0,79,86,88,43428
1787493538808,203,0,0,0,78,87,91,43416
1787493539808,198,0,0,0,78,86,88,50060
1787493540808,200,0,0,0,80,91,104,50464
1787493541808,200,0,0,0,84,106,114,50464
1787493542808,200,0,0,0,79,92,99,50464
1787493543808,201,0,0,0,79,86,88,50696
1787493544808,200,0,0,0,80,88,91,51004
1787493545808,201,0,0,0,79,89,119,50972
1787493546808,200,0,0,0,78,86,88,50972
1787493547808,199,0,0,0,79,86,88,51036
1787493548808,199,0,0,0,79,86,88,51040
1787493549808,202,0,0,0,79,86,87,51040
1787493550808,199,0,0,0,79,86,87,51048
1787493551808,199,0,0,0,80,87,87,51116
1787493552808,201,0,0,0,79,86,87,51192
1787493553808,199,0,0,0,80,87,90,51192
1787493554808,202,0,0,0,80,86,87,51200
1787493555808,199,0,0,0,79,86,87,51012
1787493556808,200,0,0,0,79,86,89,51088
1787493557808,199,0,0,0,79,88,101,51076
1787493558808,199,0,0,0,80,94,107,51140
1787493559808,201,0,0,0,80,89,97,51220
1787493560808,200,0,0,0,82,97,106,51268
1787493561808,201,0,0,0,80,104,116,51340
1787493562808,197,0,0,0,82,100,113,51464
1787493563808,200,0,0,0,80,100,104,52056
1787493564808,201,0,0,0,82,119,130,52056
1787493565808,200,0,0,0,81,93,100,52120
1787493566808,202,0,0,0,81,88,97,52184
1787493567808,199,0,0,0,80,87,95,65692
1787493568808,201,0,0,0,78,87,89,65412
1787493569808,199,0,0,0,80,86,87,65476
1787493570808,201,0,0,0,79,86,87,65596
1787493571808,199,0,0,0,79,86,87,65780
1787493572808,200,0,0,0,79,86,87,65844
1787493573808,201,0,0,0,78,86,87,66288
1787493574808,198,0,0,0,79,86,87,66428
1787493575808,202,0,0,0,79,86,87,66744
1787493576808,201,0,0,0,79,86,87,66880
1787493577808,198,0,0,0,79,86,88,66828
1787493578808,201,0,0,0,79,86,87,66892
1787493579808,200,0,0,0,79,86,87,67020
1787493580808,200,0,0,0,80,86,89,67084
1787493581808,199,0,0,0,79,87,90,67152
1787493582808,201,0,0,0,79,87,89,67152
1787493583808,200,0,0,0,79,87,89,67176
1787493584808,199,0,0,0,80,87,95,67240
1787493585808,200,0,0,0,80,87,88,67368
1787493586808,198,0,0,0,79,86,88,67432
1787493587808,202,0,0,0,79,87,88,67408
1787493588808,16,0,0,0,82,87,87,67472
1787493589808,0,0,0,0,0,0,0,67600
1787493590808,0,0,0,0,0,0,0,67664
1787493591808,0,0,0,0,0,0,0,67796
1787493592808,0,0,0,0,0,0,0,67860
summary,12000,0,1.000000,0,0,79,87,99,68240
