ts_ms,kind,op_id,trait,latency_ms,status,fuel_left,fuel_total,mem_pages_used,mem_pages_limit,ok_count_moving,rss_kb
1787493396000,normal,sha_64B_em,normal,0,ok,inf,inf,1,inf,1,31348
1787493396000,normal,grep_8k,normal,1,ok,inf,inf,2,inf,2,31364
1787493396001,mal,inf_loop_cpu,mal,30,trap_soft_timeout,inf,inf,1,inf,2,35700
1787493396031,mal,stack_blow,mal,7,trap_oom_crash,inf,inf,0,inf,2,36864
1787493396038,normal,kmeans_iter_64,normal,1,ok,inf,inf,2,inf,3,36876
1787493396039,mal,inf_loop_cpu,mal,31,trap_soft_timeout,inf,inf,1,inf,3,36948
1787493396071,normal,kmeans_iter_64,normal,4,ok,inf,inf,2,inf,4,36956
1787493396075,mal,inf_loop_cpu,mal,30,trap_soft_timeout,inf,inf,1,inf,4,37056
1787493396106,normal,conv_16_16,normal,4,ok,inf,inf,3,inf,5,37084
1787493396110,normal,sum_u64_16k,normal,2,ok,inf,inf,4,inf,6,37124
1787493396112,mal,inf_loop_cpu,mal,30,trap_soft_timeout,inf,inf,1,inf,6,37232
1787493396142,mal,stack_blow,mal,5,trap_oom_crash,inf,inf,0,inf,6,37248
1787493396147,mal,mem_bomb,mal,34,trap_soft_timeout,inf,inf,960,inf,6,42104
1787493396181,mal,inf_loop_cpu,mal,30,trap_soft_timeout,inf,inf,1,inf,6,42216
1787493396211,normal,rsort_1k,normal,3,ok,inf,inf,2,inf,7,42320
1787493396215,mal,inf_loop_cpu,mal,32,trap_soft_timeout,inf,inf,1,inf,7,42404
1787493396248,normal,mul_512,normal,3,ok,inf,inf,1,inf,8,42424
1787493396251,normal,fib_25,normal,7,ok,inf,inf,1,inf,9,42452
1787493396258,normal,grep_8k,normal,1,ok,inf,inf,2,inf,10,42476
1787493396259,normal,grep_8k,normal,1,ok,inf,inf,2,inf,11,42632
1787493396260,mal,mem_bomb,mal,32,trap_soft_timeout,inf,inf,1088,inf,11,42504
1787493396292,normal,sqrt_1k,normal,1,ok,inf,inf,1,inf,12,42504
1787493396293,normal,fib_25,normal,5,ok,inf,inf,1,inf,13,42636
1787493396298,normal,sum_u64_16k,normal,0,ok,inf,inf,4,inf,14,42636
1787493396298,mal,mem_bomb,mal,31,trap_soft_timeout,inf,inf,1024,inf,14,42688
1787493396329,normal,kmeans_iter_64,normal,0,ok,inf,inf,2,inf,15,42716
1787493396329,normal,mul_512,normal,0,ok,inf,inf,1,inf,16,42736
1787493396329,normal,sha_64B_em,normal,1,ok,inf,inf,1,inf,17,42744
1787493396330,normal,fib_25,normal,4,ok,inf,inf,1,inf,18,42744
1787493396334,mal,inf_loop_cpu,mal,30,trap_soft_timeout,inf,inf,1,inf,18,42804
1787493396364,mal,stack_blow,mal,5,trap_oom_crash,inf,inf,0,inf,18,42804
1787493396369,normal,mul_512,normal,0,ok,inf,inf,1,inf,19,42804
1787493396369,normal,qsort_512,normal,1,ok,inf,inf,2,inf,20,42864
